公司名称,科目编码,科目名称,年份,期初余额,期初余额方向,期末余额,期末余额方向,核算维度
广州金发碳纤维新材料发展有限公司,1221.02,供应商往来,2024,2675590.6,借,1875590.6,借,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,2202.01,暂估应付款,2024,246091.99,贷,246091.99,贷,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,2202.06,外协供应商,2024,8761.05,贷,8761.05,贷,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,1221.02,供应商往来,2023,122222.4,贷,2675590.6,借,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,2202.01,暂估应付款,2023,169012.35,贷,246091.99,贷,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,2202.06,外协供应商,2023,0.0,贷,8761.05,贷,广州盈骄恒贸易有限公司
广东金发复合材料有限公司,2202.01,暂估应付款,2025,458946.02,贷,515317.7,贷,广州盈骄恒贸易有限公司
广东金发复合材料有限公司,2202.01,暂估应付款,2024,0.0,贷,458946.02,贷,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,1221.02,供应商往来,2025,1875590.6,借,1875590.6,借,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,2202.01,暂估应付款,2025,246091.99,贷,338127.39,贷,广州盈骄恒贸易有限公司
广州金发碳纤维新材料发展有限公司,2202.06,外协供应商,2025,8761.05,贷,8761.05,贷,广州盈骄恒贸易有限公司
