公司名称,年份,科目名称,期初余额,期初余额方向,期末余额,期末余额方向
广东金发复合材料有限公司,2024,暂估应付款,0.0,贷,458946.02,贷
广东金发复合材料有限公司,2025,暂估应付款,458946.02,贷,515317.7,贷
广州金发碳纤维新材料发展有限公司,2023,供应商往来,122222.4,贷,2675590.6,借
广州金发碳纤维新材料发展有限公司,2023,外协供应商,0.0,贷,8761.05,贷
广州金发碳纤维新材料发展有限公司,2023,暂估应付款,169012.35,贷,246091.99,贷
广州金发碳纤维新材料发展有限公司,2024,供应商往来,2675590.6,借,1875590.6,借
广州金发碳纤维新材料发展有限公司,2024,外协供应商,8761.05,贷,8761.05,贷
广州金发碳纤维新材料发展有限公司,2024,暂估应付款,246091.99,贷,246091.99,贷
广州金发碳纤维新材料发展有限公司,2025,供应商往来,1875590.6,借,1875590.6,借
广州金发碳纤维新材料发展有限公司,2025,外协供应商,8761.05,贷,8761.05,贷
广州金发碳纤维新材料发展有限公司,2025,暂估应付款,246091.99,贷,338127.39,贷
